"treatment","site","moist_grav","tstage","hour","time_accum","moist_vol","temp","C_R_r","C_R_sd","C_R_cv","C_R_se","C13","C13sd","C_R_gm","C_R_sdnorm","C_R_sd001","C_R_sd005","C_R_sd01","one"
6,"bare_fallow",0.11,6,3911,29,0.198,35,0.0002421090504253,0.000106830943188312,0.441251341082242,6.16788738075533e-05,-26.7533333333333,0.906660539194981,0.000117196715418782,0.538055050460359,0.548055050460359,0.588055050460359,0.638055050460359,1
6,"bare_fallow",0.11,7,4078,184,0.198,35,0.000200880878091081,0.000101183059501591,0.503696820041348,5.84180666406735e-05,-27.05,0.226495033058124,0.000117196715418782,0.509609431135478,0.519609431135478,0.559609431135478,0.609609431135478,1
6,"bare_fallow",0.11,8,4633,186,0.198,20,5.95448826437884e-05,2.62119275628689e-05,0.440204538141,1.51334634344013e-05,-26.58,0.332866339541865,0.000117196715418782,0.132016619778807,0.142016619778807,0.182016619778807,0.232016619778807,1
7,"bare_fallow",0.12,1,1111,648,0.216,5,7.16809710831701e-06,6.57564328064435e-06,0.917348520992379,3.79644941817497e-06,-27.2633333333333,2.10019840332606,0.000109045055261319,0.0331182892482739,0.0431182892482739,0.0831182892482739,0.133118289248274,1
7,"bare_fallow",0.12,2,1639,264,0.216,20,0.000120697304289518,1.72368125943369e-05,0.142810253267883,9.95167839131152e-06,-29.1066666666667,0.384230833397495,0.000109045055261319,0.086813368799653,0.096813368799653,0.136813368799653,0.186813368799653,1
7,"bare_fallow",0.12,3,1825,186,0.216,20,6.45762130782364e-05,7.75516584086964e-06,0.120093227385043,4.47744708583628e-06,-28.1666666666667,0.0404145188432747,0.000109045055261319,0.039058965720094,0.049058965720094,0.089058965720094,0.139058965720094,1
7,"bare_fallow",0.12,4,1872,20,0.216,35,0.000209317982168743,5.41335365710741e-05,0.258618662430225,3.12540119114961e-05,-27.5466666666667,0.68156682235371,0.000109045055261319,0.272644066242165,0.282644066242165,0.322644066242165,0.372644066242165,1
7,"bare_fallow",0.12,5,3841,1770,0.216,5,5.37363730457043e-06,3.41576200165857e-07,0.0635651758400846,1.97209111114527e-07,-26.6466666666667,0.387341365378569,0.000109045055261319,0.00172035174577029,0.0117203517457703,0.0517203517457703,0.10172035174577,1
7,"bare_fallow",0.12,6,3936,34,0.216,35,0.0002082650664478,7.41530478105108e-05,0.356051300754736,4.28122821146296e-05,-26.53,0.535070088866869,0.000109045055261319,0.373472522948193,0.383472522948193,0.423472522948193,0.473472522948193,1
7,"bare_fallow",0.12,7,4101,182,0.216,35,0.0002004375448523,8.34609346764646e-05,0.416393718741496,4.81861931022746e-05,-27.1366666666667,0.285365263010993,0.000109045055261319,0.420351782719514,0.430351782719514,0.470351782719514,0.520351782719514,1
7,"bare_fallow",0.12,8,4657,185,0.216,20,5.65245968410662e-05,1.81109170403803e-05,0.320407717215639,1.04563428285346e-05,-26.6633333333333,0.450148123769648,0.000109045055261319,0.0912158040659458,0.101215804065946,0.141215804065946,0.191215804065946,1
8,"bare_fallow",0.13,1,1087,712,0.234,5,8.50334905167676e-06,6.31974172022426e-06,0.743206198148256,3.64870458338039e-06,-27.5033333333333,2.3698382504579,0.000110578739970958,0.0318294386316318,0.0418294386316318,0.0818294386316318,0.131829438631632,1
8,"bare_fallow",0.13,2,1615,264,0.234,20,0.000106294998550834,1.44117223431435e-05,0.135582318449831,8.32061177430004e-06,-28.9833333333333,0.365558932777375,0.000110578739970958,0.0725847751703568,0.0825847751703568,0.122584775170357,0.172584775170357,1
8,"bare_fallow",0.13,3,1801,186,0.234,20,5.89087898818112e-05,8.79557803105399e-06,0.149308414732344,5.07812934390738e-06,-28.29,0.145258390463341,0.000110578739970958,0.0442990115044174,0.0542990115044174,0.0942990115044174,0.144299011504417,1
8,"bare_fallow",0.13,4,1847,20,0.234,35,0.000209405923255912,7.04918090555361e-05,0.336627579389858,4.06984649338774e-05,-27.8166666666667,0.537804177497101,0.000110578739970958,0.355032659512906,0.365032659512906,0.405032659512906,0.455032659512906,1
8,"bare_fallow",0.13,5,3814,1768,0.234,5,5.09717238556973e-06,1.06738223386494e-06,0.209406736347929,6.16253420050149e-07,-26.6133333333333,0.326241219549789,0.000110578739970958,0.00537588066306175,0.0153758806630617,0.0553758806630617,0.105375880663062,1
8,"bare_fallow",0.13,6,3913,31,0.234,35,0.000241747365885059,9.84661990445259e-05,0.407310328631843,5.68494865244363e-05,-26.55,0.425793377120874,0.000110578739970958,0.495925937882562,0.505925937882562,0.545925937882562,0.595925937882562,1
8,"bare_fallow",0.13,7,4075,180,0.234,35,0.000197309824547318,6.59542246254383e-05,0.334267311710175,3.80786893416898e-05,-27.1233333333333,0.265015722804014,0.000110578739970958,0.332179072839981,0.342179072839981,0.382179072839981,0.432179072839981,1
8,"bare_fallow",0.13,8,4631,184,0.234,20,5.73624962094856e-05,1.36277590552204e-05,0.237572629431125,7.86799035898286e-06,-26.54,0.226053091109146,0.000110578739970958,0.0686363366950081,0.0786363366950081,0.118636336695008,0.168636336695008,1
9,"bare_fallow",0.15,1,903,504,0.27,5,1.71294655831736e-05,9.99352546005331e-06,0.583411397835437,5.76976461451516e-06,-28.12,2.18295671051901,0.000147851506359404,0.0503324850011637,0.0603324850011637,0.100332485001164,0.150332485001164,1
9,"bare_fallow",0.15,2,1575,264,0.27,20,0.000110056386795897,2.01612446867145e-05,0.18319013801629,1.16401000470725e-05,-28.16,0.520288381573144,0.000147851506359404,0.101542298546707,0.111542298546707,0.151542298546707,0.201542298546707,1
9,"bare_fallow",0.15,3,1761,186,0.27,20,7.67578633397431e-05,9.83458022644043e-06,0.12812472623047,5.67799754110236e-06,-28.0633333333333,0.724729834720037,0.000147851506359404,0.0495319558366757,0.0595319558366757,0.0995319558366757,0.149531955836676,1
9,"bare_fallow",0.15,4,1807,20,0.27,35,0.0002917248457482,2.74734467994254e-05,0.0941758893691862,1.58618019052151e-05,-27.47,0.701712191713953,0.000147851506359404,0.138370273282415,0.148370273282415,0.188370273282415,0.238370273282415,1
9,"bare_fallow",0.15,5,3774,1768,0.27,5,7.20252440183864e-06,3.2212918691094e-07,0.0447244839363137,1.85981372776866e-07,-26.25,0.211660104885166,0.000147851506359404,0.00162240668054949,0.0116224066805495,0.0516224066805495,0.10162240668055,1
9,"bare_fallow",0.15,6,3873,31,0.27,35,0.000352651669678589,3.66130872565636e-05,0.103822242752837,2.11385757834403e-05,-26.4233333333333,0.274286954362277,0.000147851506359404,0.184402158432832,0.194402158432832,0.234402158432832,0.284402158432832,1
9,"bare_fallow",0.15,7,4036,182,0.27,35,0.00026480576851463,3.39005932762652e-05,0.128020599650918,1.95725166537397e-05,NA,NA,0.000147851506359404,0.170740656981232,0.180740656981232,0.220740656981232,0.270740656981232,1
9,"bare_fallow",0.15,8,4592,184,0.27,20,6.24835268131592e-05,1.35680507415549e-05,0.217146045262884,7.8335177480152e-06,-26.4933333333333,0.691688754667396,0.000147851506359404,0.0683356152114807,0.0783356152114807,0.118335615211481,0.168335615211481,1
10,"bare_fallow",0.17,1,696,576,0.306,5,1.53500999183118e-05,1.0205634499619e-06,0.066485785460225,5.89222582560594e-07,-28.2933333333333,1.42310692969057,0.000138386447087566,0.00514007741745114,0.0151400774174511,0.0551400774174511,0.105140077417451,1
10,"bare_fallow",0.17,2,1368,264,0.306,20,0.000112474996424189,2.62466791643568e-05,0.233355679029053,1.51535272808751e-05,-28.2,0.346987031457949,0.000138386447087566,0.132191646546653,0.142191646546653,0.182191646546653,0.232191646546653,1
10,"bare_fallow",0.17,3,1552,184,0.306,20,8.86525479887169e-05,3.22148650400175e-05,0.363383408270653,1.85992610027616e-05,-28.0966666666667,0.17097758137643,0.000138386447087566,0.162250470859615,0.172250470859615,0.212250470859615,0.262250470859615,1
10,"bare_fallow",0.17,4,1600,20,0.306,35,0.00030802618661958,0.000126556278142258,0.410862074848716,7.306730125307e-05,-27.41,0.658255269633295,0.000138386447087566,0.637401885536832,0.647401885536832,0.687401885536832,0.737401885536832,1
10,"bare_fallow",0.17,5,3565,1765,0.306,5,7.87901628810198e-06,1.63699606006338e-06,0.207766553616012,9.45120115939947e-07,-25.9533333333333,1.30798827721556,0.000138386447087566,0.00824474605778054,0.0182447460577805,0.0582447460577805,0.108244746057781,1
10,"bare_fallow",0.17,6,3667,32,0.306,35,0.000309148893850641,0.000185437148897366,0.599831190038015,0.000107062187833651,-26.0233333333333,1.29361251282342,0.000138386447087566,0.933955945060998,0.943955945060998,0.983955945060998,1.033955945061,1
10,"bare_fallow",0.17,7,3829,181,0.306,35,0.000219477339026113,0.000131591683824654,0.599568431112593,7.59744940792799e-05,-26.68,0.457383865041171,0.000138386447087566,0.662762753630581,0.672762753630581,0.712762753630581,0.762762753630581,1
10,"bare_fallow",0.17,8,4384,183,0.306,20,4.60824965848746e-05,6.13493826397093e-06,0.133129468206472,3.54200825816535e-06,-25.47,0.798686421569817,0.000138386447087566,0.0308986742855344,0.0408986742855344,0.0808986742855344,0.130898674285534,1
11,"bare_fallow",0.19,1,367,120,0.342,5,1.18428442619063e-05,4.27911335305958e-06,0.361324801578601,2.47054724628187e-06,-28.49,0.665507325278994,7.93411338553226e-05,0.021551794661661,0.031551794661661,0.071551794661661,0.121551794661661,1
11,"bare_fallow",0.19,2,607,240,0.342,5,1.66385547739914e-05,6.84459103791234e-06,0.411369324492741,3.95172647823159e-06,-28.9866666666667,0.282901631902916,7.93411338553226e-05,0.0344728471580823,0.0444728471580823,0.0844728471580823,0.134472847158082,1
11,"bare_fallow",0.19,3,1615,264,0.342,20,7.06028172343881e-05,1.17775031534878e-05,0.166813501427127,6.79974461604782e-06,-27.9,0.543691088762727,7.93411338553226e-05,0.0593175054382579,0.0693175054382579,0.109317505438258,0.159317505438258,1
11,"bare_fallow",0.19,4,1799,184,0.342,20,5.42746152708171e-05,9.33350090404411e-06,0.171968071214733,5.38869925943149e-06,-27.7066666666667,0.514230817175841,7.93411338553226e-05,0.0470082651151461,0.0570082651151461,0.0970082651151461,0.147008265115146,1
11,"bare_fallow",0.19,5,1846,19,0.342,35,0.000203780726128409,6.64644252244726e-05,0.326156582554285,3.8373253794883e-05,-26.84,0.954410813015026,7.93411338553226e-05,0.334748702957113,0.344748702957113,0.384748702957113,0.434748702957113,1
11,"bare_fallow",0.19,6,3789,1742,0.342,5,6.72810733347989e-06,4.71208492892808e-07,0.0700358168407952,2.72052350216101e-07,-26.31,0.0953939201416951,7.93411338553226e-05,0.00237324600770284,0.0123732460077028,0.0523732460077028,0.102373246007703,1
11,"bare_fallow",0.19,7,3913,31,0.342,35,0.000189258620674711,9.81895091296342e-05,0.518811289967064,5.66897395275915e-05,-25.46,1.23048770818729,7.93411338553226e-05,0.494532386523041,0.504532386523041,0.544532386523041,0.594532386523041,1
11,"bare_fallow",0.19,8,4077,182,0.342,35,0.000121858682548986,0.000113419242582929,0.930744040641795,6.54826302365377e-05,-26.36,0.883855191759375,7.93411338553226e-05,0.571237082345731,0.581237082345731,0.621237082345731,0.671237082345731,1
11,"bare_fallow",0.19,9,4631,183,0.342,20,3.90852364712145e-05,2.02296763906456e-05,0.517578457163598,1.16796091097582e-05,-25,1.65502265845516,7.93411338553226e-05,0.101886955467378,0.111886955467378,0.151886955467378,0.201886955467378,1
12,"bare_fallow",0.21,1,447,208,0.378,5,1.94089643592866e-05,5.69202243150268e-06,0.293267704867478,3.28629068306146e-06,-29.1633333333333,1.42878736463245,0.000111256125632654,0.0286679245282443,0.0386679245282443,0.0786679245282443,0.128667924528244,1
12,"bare_fallow",0.21,2,695,248,0.378,5,2.75637875483853e-05,4.36000559396684e-07,0.0158178754872251,2.51725040334503e-07,-29.4,0.735730929076657,0.000111256125632654,0.0021959209194045,0.0121959209194045,0.0521959209194045,0.102195920919405,1
12,"bare_fallow",0.21,3,1630,279,0.378,20,9.1308738441318e-05,4.86891276234127e-05,0.533236231871762,2.81106809399854e-05,-27.5566666666667,1.0653324989567,0.000111256125632654,0.245223249354897,0.255223249354897,0.295223249354897,0.345223249354897,1
12,"bare_fallow",0.21,4,1777,147,0.378,20,8.38198414742745e-05,3.66972831410417e-05,0.437811411899468,2.11871863000084e-05,-27.07,1.12822870021995,0.000111256125632654,0.184826211797142,0.194826211797142,0.234826211797142,0.284826211797142,1
12,"bare_fallow",0.21,5,1799,22,0.378,20,0.000105634062010124,3.49021786249619e-05,0.330406480265966,2.01507822244262e-05,NA,NA,0.000111256125632654,0.17578515101311,0.18578515101311,0.22578515101311,0.27578515101311,1
12,"bare_fallow",0.21,6,1846,19,0.378,35,0.000230526946432763,8.43046329423471e-05,0.365704028300813,4.86733025231967e-05,-26.83,0.944086860410631,0.000111256125632654,0.424601076973357,0.434601076973357,0.474601076973357,0.524601076973357,1
12,"bare_fallow",0.21,7,3745,1699,0.378,5,9.17095977579278e-06,2.92465968731971e-06,0.318904428633467,1.68855305776208e-06,-25.5866666666667,0.674116706018575,0.000111256125632654,0.0147300760311209,0.0247300760311209,0.0647300760311209,0.114730076031121,1
12,"bare_fallow",0.21,8,3912,30,0.378,35,0.000362782812824565,0.000113794004143174,0.313669777399854,6.5698998924227e-05,-24.6733333333333,0.540030863315545,0.000111256125632654,0.573124572469756,0.583124572469756,0.623124572469756,0.673124572469756,1
12,"bare_fallow",0.21,9,4078,183,0.378,35,0.000114284050134548,3.93891376318529e-05,0.344659972983803,2.27413292148975e-05,-24.15,1.13013273556693,0.000111256125632654,0.198383762265757,0.208383762265757,0.248383762265757,0.298383762265757,1
12,"bare_fallow",0.21,10,4629,182,0.378,20,6.80610933254861e-05,2.30693248868812e-05,0.338950254245221,1.33190809334638e-05,-25.86,0.440340777126079,0.000111256125632654,0.116188871834798,0.126188871834798,0.166188871834798,0.216188871834798,1
13,"maize",0.01,2,1546,72,0.018,20,3.85364004698665e-06,6.45393839201529e-08,0.0167476420042447,3.72618306796329e-08,-21.83,1.33101465055799,2.93244470175344e-06,0.000325053214316634,0.0103250532143166,0.0503250532143166,0.100325053214317,1
13,"maize",0.01,3,1978,432,0.018,20,8.39547294661042e-07,6.9237227584337e-08,0.0824697167445352,3.99741319837603e-08,-26.18,0.619919349593156,2.93244470175344e-06,0.000348713948129793,0.0103487139481298,0.0503487139481298,0.10034871394813,1
13,"maize",0.01,4,2088,71,0.018,35,6.55023118480595e-06,6.28269879644449e-07,0.0959156802132109,3.62731784136456e-07,-23.88,0.381968585095686,2.93244470175344e-06,0.00316428715975058,0.0131642871597506,0.0531642871597506,0.103164287159751,1
13,"maize",0.01,5,3943,1773,0.018,5,9.69165335220869e-08,1.60785766609606e-08,0.165901276868269,9.28297056339165e-09,NA,NA,2.93244470175344e-06,8.09799026242281e-05,0.0100809799026242,0.0500809799026242,0.100080979902624,1
13,"maize",0.01,6,4715,652,0.018,35,3.32188844879146e-06,2.33019881733845e-07,0.0701468111665882,1.3453409144557e-07,-26.58,0.00999999999999979,2.93244470175344e-06,0.00117360682666226,0.0111736068266623,0.0511736068266623,0.101173606826662,1
14,"maize",0.03,1,840,840,0.054,5,1.36005439983023e-06,4.00501291068076e-07,0.294474464490589,4.00501291068076e-07,-26.18,NA,9.92472177025977e-06,0.00201712852048141,0.0120171285204814,0.0520171285204814,0.102017128520481,1
14,"maize",0.03,2,1176,72,0.054,20,1.11619477592905e-05,3.65152859518396e-06,0.327140806777623,3.65152859518396e-06,-24.72,NA,9.92472177025977e-06,0.018390958124145,0.028390958124145,0.068390958124145,0.118390958124145,1
14,"maize",0.03,3,1485,309,0.054,20,6.43821792501162e-06,2.10620380619846e-06,0.327140806777623,2.10620380619846e-06,NA,NA,9.92472177025977e-06,0.0106079152856145,0.0206079152856146,0.0606079152856146,0.110607915285615,1
14,"maize",0.03,4,1556,71,0.054,20,8.718083881902e-06,2.85204099468041e-06,0.327140806777623,2.85204099468041e-06,NA,NA,9.92472177025977e-06,0.0143643313024281,0.0243643313024281,0.0643643313024281,0.114364331302428,1
14,"maize",0.03,5,1671,43,0.054,35,3.63132514874171e-05,1.1315718986046e-05,0.311614039573599,1.1315718986046e-05,NA,NA,9.92472177025977e-06,0.0569917251343559,0.0669917251343559,0.106991725134356,0.156991725134356,1
14,"maize",0.03,6,3498,1698,0.054,5,9.42905901065593e-07,2.77661710281306e-07,0.294474464490589,2.77661710281306e-07,NA,NA,9.92472177025977e-06,0.00139844581614312,0.0113984458161431,0.0513984458161431,0.101398445816143,1
14,"maize",0.03,7,4369,889,0.054,20,4.53859103730142e-06,1.48475833357647e-06,0.327140806777623,1.48475833357647e-06,-24.97,NA,9.92472177025977e-06,0.00747799931603838,0.0174779993160384,0.0574779993160384,0.107477999316038,1
15,"maize",0.065,1,972,720,0.117,5,7.04830124356463e-06,5.56615940344009e-07,0.0789716445295553,3.93586905933775e-07,-21.645,0.0353553390593279,0.000116510979565214,0.0028034014203256,0.0128034014203256,0.0528034014203256,0.102803401420326,1
15,"maize",0.065,2,1308,72,0.117,20,7.32071645036823e-05,2.10513399460442e-05,0.287558466288984,1.48855452289111e-05,-25.28,1.56977705423413,0.000116510979565214,0.106025271694562,0.116025271694562,0.156025271694562,0.206025271694562,1
15,"maize",0.065,3,1617,309,0.117,20,8.46633900695911e-05,2.76968497318946e-05,0.327140806777623,1.95846302629275e-05,NA,NA,0.000116510979565214,0.139495444253627,0.149495444253627,0.189495444253627,0.239495444253627,1
15,"maize",0.065,5,1803,43,0.117,35,0.000370670624583426,0.000115506170677711,0.311614039573599,8.16751965550999e-05,-23.935,1.03944696834423,0.000116510979565214,0.581747915329443,0.591747915329443,0.631747915329443,0.681747915329443,1
15,"maize",0.065,6,3630,1698,0.117,5,9.94290627302905e-06,2.92793200023034e-06,0.294474464490589,2.07036057221597e-06,-23.265,0.68589357775095,0.000116510979565214,0.014746557065882,0.024746557065882,0.064746557065882,0.114746557065882,1
